dur,proto,s_port,d_port,s_load,d_load,s_pkt_cnt,d_pkt_cnt,s_iat_mean,d_iat_mean,tcp_rtt,syn_ack,ack_dat,s_bytes_sum,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_bytes_min,d_bytes_min,s_bytes_max,d_bytes_max,s_bytes_med,d_bytes_med,s_bytes_std,d_bytes_std,s_iat_sum,d_iat_sum,s_iat_min,d_iat_min,s_iat_max,d_iat_max,s_iat_med,d_iat_med,s_iat_std,d_iat_std,s_winsize_sum,d_winsize_sum,s_winsize_mean,d_winsize_mean,s_winsize_min,d_winsize_min,s_winsize_max,d_winsize_max,s_winsize_med,d_winsize_med,s_winsize_std,d_winsize_std,s_ttl_sum,d_ttl_sum,s_ttl_mean,d_ttl_mean,s_ttl_min,d_ttl_min,s_ttl_max,d_ttl_max,s_ttl_med,d_ttl_med,s_ttl_std,d_ttl_std,cwr_cnt,ece_cnt,urg_cnt,ack_cnt,psh_cnt,rst_cnt,syn_cnt,fin_cnt,pkt_depth,neg_f1_score,compute_cost,timestamp
true,true,false,true,true,true,true,false,true,true,true,true,true,false,true,true,false,true,false,false,true,true,false,false,true,true,true,true,false,false,false,true,true,false,true,true,true,true,false,true,false,false,true,false,true,false,true,true,true,true,true,true,false,true,true,true,false,true,true,false,false,false,true,true,true,false,false,18,-0.9206675154673166,2806.9999999999995,3826822
false,false,true,false,true,false,false,false,false,false,false,false,false,true,true,false,true,false,false,false,true,true,true,true,false,false,true,true,false,false,false,true,false,true,true,true,false,true,true,true,true,false,true,false,true,false,true,true,true,true,false,true,false,true,false,true,true,false,true,false,true,false,false,false,false,false,false,17,-0.8736016673989601,2537.0,3901849
false,true,true,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,true,true,true,true,true,false,false,true,true,false,true,false,false,true,true,true,true,true,true,false,false,false,false,true,true,true,false,true,false,false,false,false,true,false,true,false,true,false,true,false,false,false,false,8,-0.9165612127581602,906.9999999999995,3978567
true,true,false,false,true,true,false,true,true,false,false,false,false,true,true,true,false,true,true,false,true,false,true,false,false,true,false,false,false,true,false,false,false,false,true,true,true,true,false,true,false,false,true,false,false,false,true,false,false,true,false,true,true,true,true,false,true,false,true,false,false,true,true,false,true,false,false,8,-0.8938254467452919,927.0000000000001,4055602
true,false,false,false,true,true,false,false,true,true,false,false,true,false,true,true,false,true,true,false,false,true,false,true,true,true,true,false,false,false,false,true,false,false,false,true,false,false,false,true,true,true,false,false,true,true,true,false,false,false,true,false,false,true,true,false,true,false,false,true,false,true,true,false,false,true,false,33,-0.8847799626426776,4247.000000000001,4130316
false,true,true,true,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,false,true,false,false,false,false,false,true,false,false,false,false,true,false,true,true,false,false,true,true,false,false,false,false,false,true,false,false,true,true,false,false,true,true,true,false,false,true,false,true,false,true,14,-0.8786757390205838,1903.999999999999,4205123
true,false,true,true,true,true,true,true,true,true,false,true,true,false,false,true,true,true,true,false,false,false,false,false,true,true,true,false,true,false,false,true,true,true,true,false,true,false,true,false,false,true,false,false,true,true,true,true,true,false,true,false,false,true,true,false,false,false,false,true,false,true,true,false,false,true,false,16,-0.9080340795949919,2060.999999999999,4281421
true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,false,true,true,true,true,false,false,false,false,true,true,true,false,false,false,false,true,false,false,true,true,false,true,true,false,false,true,false,true,true,true,true,true,false,false,true,false,false,true,true,false,false,true,false,true,false,false,true,true,false,false,false,25,-0.9575506119008069,3865.0000000000005,4357781
true,false,true,true,true,true,false,true,true,false,false,true,true,false,true,true,true,true,true,true,false,true,false,false,true,true,true,false,false,false,false,true,false,false,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,false,false,false,false,true,true,false,false,true,false,true,false,false,true,false,false,false,false,3,-0.9355844980275967,566.9999999999997,4431069
true,false,true,true,true,false,true,true,true,true,true,true,true,false,true,true,false,false,false,true,true,false,true,false,false,true,true,true,false,false,false,true,false,false,true,false,false,true,true,false,true,true,false,false,true,true,true,true,false,true,true,false,true,true,true,false,true,false,false,true,false,false,true,false,false,false,true,21,-0.9400961944346061,2982.999999999999,4506006
