s_winsize_std,s_winsize_mean,s_winsize_sum,s_winsize_med,d_winsize_mean,d_winsize_sum,d_winsize_std,d_winsize_med,d_ttl_sum,s_bytes_sum,s_bytes_std,s_bytes_mean,d_winsize_min,s_bytes_max,d_bytes_sum,d_bytes_mean,d_bytes_std,dur,d_winsize_max,d_iat_max,s_iat_sum,s_winsize_min,d_iat_sum,s_iat_max,d_load,d_ttl_mean,d_ttl_min,d_ttl_max,s_iat_std,d_ttl_med,s_iat_mean,s_load,s_winsize_max,d_iat_mean,d_bytes_max,syn_ack,d_iat_med,tcp_rtt,ack_cnt,d_bytes_med,s_port,d_iat_std,s_iat_med,s_ttl_sum,d_iat_min,d_port,d_pkt_cnt,s_pkt_cnt,psh_cnt,ack_dat,s_iat_min,s_bytes_med,s_ttl_max,s_ttl_min,d_bytes_min,s_ttl_med,s_ttl_mean,s_bytes_min,fin_cnt,rst_cnt,syn_cnt,d_ttl_std,cwr_cnt,proto,s_ttl_std,ece_cnt,pkt_depth,neg_f1_score,compute_cost,Timestamp
false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,true,false,true,false,true,true,false,false,true,false,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,6,-0.9517807053965781,340.0,1845469
false,false,false,false,true,false,true,true,false,false,true,false,true,true,false,true,true,false,true,false,false,false,false,false,true,false,false,true,true,true,true,false,true,true,false,true,true,false,true,false,false,false,true,false,false,true,true,false,true,true,true,false,false,false,true,false,true,true,false,true,false,false,false,false,false,false,5,-0.9248506213185423,270.0,1877602
false,true,false,false,false,false,true,true,false,false,false,true,false,true,false,false,false,true,false,false,false,false,false,false,true,false,true,false,true,true,true,true,true,false,false,false,false,true,true,true,false,false,true,true,true,false,false,false,false,true,true,false,true,true,true,true,true,false,false,false,true,false,true,false,false,true,3,-0.9037032336489478,181.0,1909332
false,false,false,true,true,true,false,true,false,true,true,true,true,true,true,false,true,true,false,true,false,false,false,true,false,false,true,true,false,true,false,false,true,true,true,true,false,false,true,false,true,true,false,true,true,false,true,true,false,false,true,true,true,true,false,true,true,false,true,false,true,true,true,false,false,true,10,-0.9437300060250495,622.0,1942368
false,true,false,true,false,false,true,false,true,true,false,false,false,true,false,true,true,true,false,false,true,false,false,false,true,false,true,false,true,true,false,false,true,false,false,true,false,true,false,false,false,true,true,false,true,true,true,true,false,false,false,true,true,true,false,true,false,true,false,true,true,false,false,true,true,true,6,-0.9162411343527428,380.0,1975247
false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,true,true,true,true,false,true,false,true,false,true,true,false,true,false,false,true,true,true,false,true,true,false,false,false,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,2,-0.9728009524990842,160.0,2007116
false,true,true,false,true,true,false,true,true,false,false,true,false,false,true,true,false,true,true,true,false,false,true,false,false,false,false,true,false,false,false,true,true,false,false,true,true,true,false,false,false,true,false,false,false,true,false,false,true,false,false,true,true,true,false,false,true,false,true,true,false,false,false,true,true,true,1,-0.8116461130299847,60.0,2037118
false,false,true,true,false,false,false,true,true,false,true,false,true,true,false,true,false,true,false,true,false,false,true,true,true,false,false,false,false,false,true,true,true,true,false,false,false,false,false,false,false,true,true,false,true,false,true,false,false,true,false,true,true,true,false,false,true,true,true,false,true,true,false,true,true,true,9,-0.92963080417857,561.0,2069917
false,false,true,true,false,false,false,true,true,true,false,true,true,true,true,false,false,false,false,true,false,false,false,true,false,false,true,false,false,false,false,false,false,true,true,false,true,true,false,false,true,false,true,false,true,false,true,false,true,false,true,false,false,false,true,false,false,true,false,true,false,true,false,true,true,false,5,-0.9472876627672399,291.0,2102183
false,false,true,false,true,false,false,false,true,false,false,false,false,true,true,false,true,false,false,true,false,true,false,false,true,true,false,true,true,false,false,true,false,false,false,false,true,true,false,true,true,false,true,false,false,true,true,true,true,true,false,false,true,true,true,true,false,false,true,false,false,true,false,false,false,true,10,-0.921708492135499,511.0,2134185
