eval_count,tr_idx,cont_length,disc_length,num_points,n_successes,n_failures,restarted_this_step
206,0,0.2,8,29,1,0,False
206,1,0.2,8,41,1,0,False
207,0,0.2,8,30,0,1,False
207,1,0.2,8,41,1,0,False
208,0,0.2,8,31,0,2,False
208,1,0.2,8,41,1,0,False
209,0,0.2,8,32,0,3,False
209,1,0.2,8,41,1,0,False
210,0,0.2,8,33,0,4,False
210,1,0.2,8,41,1,0,False
211,0,0.2,8,34,0,5,False
211,1,0.2,8,41,1,0,False
212,0,0.2,8,35,0,6,False
212,1,0.2,8,41,1,0,False
213,0,0.2,8,36,0,7,False
213,1,0.2,8,41,1,0,False
214,0,0.2,8,37,0,8,False
214,1,0.2,8,41,1,0,False
215,0,0.2,8,38,0,9,False
215,1,0.2,8,41,1,0,False
216,0,0.2,8,39,0,10,False
216,1,0.2,8,41,1,0,False
217,0,0.2,8,40,0,11,False
217,1,0.2,8,41,1,0,False
218,0,0.2,8,41,0,12,False
218,1,0.2,8,41,1,0,False
219,0,0.2,8,42,0,13,False
219,1,0.2,8,41,1,0,False
220,0,0.2,8,43,0,14,False
220,1,0.2,8,41,1,0,False
221,0,0.2,8,44,0,15,False
221,1,0.2,8,41,1,0,False
222,0,0.2,8,45,0,16,False
222,1,0.2,8,41,1,0,False
223,0,0.2,8,46,0,17,False
223,1,0.2,8,41,1,0,False
224,0,0.2,8,47,0,18,False
224,1,0.2,8,41,1,0,False
225,0,0.2,8,48,0,19,False
225,1,0.2,8,41,1,0,False
226,0,0.2,8,49,0,20,False
226,1,0.2,8,41,1,0,False
227,0,0.2,8,50,0,21,False
227,1,0.2,8,41,1,0,False
228,0,0.2,8,50,0,21,False
228,1,0.2,8,35,0,1,False
229,0,0.1,4,30,0,0,False
229,1,0.2,8,35,0,1,False
230,0,0.1,4,31,0,1,False
230,1,0.2,8,35,0,1,False
231,0,0.1,4,32,0,2,False
231,1,0.2,8,35,0,1,False
232,0,0.1,4,33,0,3,False
232,1,0.2,8,35,0,1,False
233,0,0.1,4,34,0,4,False
233,1,0.2,8,35,0,1,False
234,0,0.1,4,35,0,5,False
234,1,0.2,8,35,0,1,False
235,0,0.1,4,35,0,5,False
235,1,0.2,8,36,0,2,False
236,0,0.1,4,35,0,5,False
236,1,0.2,8,37,0,3,False
237,0,0.1,4,36,0,6,False
237,1,0.2,8,37,0,3,False
238,0,0.1,4,36,0,6,False
238,1,0.2,8,38,0,4,False
239,0,0.1,4,36,0,6,False
239,1,0.2,8,39,0,5,False
240,0,0.1,4,36,0,6,False
240,1,0.2,8,40,0,6,False
241,0,0.1,4,36,0,6,False
241,1,0.2,8,41,0,7,False
242,0,0.1,4,37,0,7,False
242,1,0.2,8,41,0,7,False
243,0,0.1,4,38,0,8,False
243,1,0.2,8,41,0,7,False
244,0,0.1,4,39,0,9,False
244,1,0.2,8,41,0,7,False
245,0,0.1,4,39,0,9,False
245,1,0.2,8,42,0,8,False
246,0,0.1,4,39,0,9,False
246,1,0.2,8,43,0,9,False
247,0,0.1,4,40,0,10,False
247,1,0.2,8,43,0,9,False
248,0,0.1,4,40,0,10,False
248,1,0.2,8,44,0,10,False
249,0,0.1,4,40,0,10,False
249,1,0.2,8,45,0,11,False
250,0,0.1,4,40,0,10,False
250,1,0.2,8,46,1,0,False
251,0,0.1,4,40,0,10,False
251,1,0.2,8,47,0,1,False
252,0,0.1,4,40,0,10,False
252,1,0.2,8,48,0,2,False
253,0,0.1,4,40,0,10,False
253,1,0.2,8,49,0,3,False
254,0,0.1,4,40,0,10,False
254,1,0.2,8,50,0,4,False
255,0,0.1,4,40,0,10,False
255,1,0.2,8,51,0,5,False
256,0,0.1,4,40,0,10,False
256,1,0.2,8,52,0,6,False
257,0,0.1,4,40,0,10,False
257,1,0.2,8,53,0,7,False
258,0,0.1,4,40,0,10,False
258,1,0.2,8,54,0,8,False
259,0,0.1,4,40,0,10,False
259,1,0.2,8,55,0,9,False
260,0,0.1,4,41,0,11,False
260,1,0.2,8,55,0,9,False
261,0,0.1,4,41,0,11,False
261,1,0.2,8,56,0,10,False
262,0,0.1,4,42,0,12,False
262,1,0.2,8,56,0,10,False
263,0,0.1,4,43,0,13,False
263,1,0.2,8,56,0,10,False
264,0,0.1,4,44,0,14,False
264,1,0.2,8,56,0,10,False
265,0,0.1,4,44,0,14,False
265,1,0.2,8,57,0,11,False
